"A" "B" "C" "D"
"168" 2 2 2 3
"169" 2 4 3 2
"170" 3 4 3 2
"171" 2 2 2 2
"172" 3 3 2 4
"173" 2 4 2 2
"174" 2 4 2 4
"175" 2 2 2 3
"176" 3 4 2 4
"177" 2 5 4 4
"178" 3 4 4 4
"179" 4 2 3 3
"180" 2 3 2 1
"181" 3 5 2 2
"182" 3 1 1 1
"183" 3 5 4 4
"184" 5 5 3 1
"185" 5 5 5 1
"186" 3 2 1 1
"187" 1 3 2 2
"188" 1 5 5 1
"189" 1 4 5 1
"190" 1 5 4 3
"191" 1 2 2 4
"192" 4 3 3 2
"193" 2 4 4 3
"194" 2 5 2 4
"195" 4 4 2 2
"196" 1 4 4 4
"197" 3 4 1 4
"198" 1 4 2 4
"199" 2 5 4 3
"200" 5 2 3 3
"201" 1 2 2 4
"202" 1 2 2 4
"203" 2 3 2 4
"204" 2 3 2 4
"205" 2 4 4 4
"206" 2 3 4 4
"207" 2 3 2 4
"208" 2 4 2 4
"209" 2 2 2 4
"210" 4 4 4 4
"211" 2 4 4 4
"212" 4 4 4 2
"213" 4 2 2 3
"214" 2 2 2 4
"215" 2 4 4 4
"216" 4 4 4 2
"217" 1 1 3 4
"218" 4 4 3 3
"219" 4 4 1 2
"220" 4 2 2 4
"221" 2 4 2 2
"222" 4 4 2 4
"223" 1 2 1 1
"224" 1 4 4 2
"225" 2 3 3 3
"226" 4 4 4 3
"227" 2 2 2 5
"228" 2 5 5 2
"229" 4 5 1 5
"230" 3 2 4 4
"231" 4 5 4 2
"232" 4 4 4 4
"233" 3 4 2 5
"234" 2 2 3 1
"235" 2 4 4 4
"236" 2 3 2 4
"237" 2 3 3 2
"238" 2 2 1 4
"239" 4 4 4 4
"240" 2 5 2 2
"241" 2 3 3 3
"242" 3 4 3 4
"243" 2 2 2 3
"244" 2 4 3 4
"245" 2 4 3 4
"246" 5 4 2 3
"247" 3 2 2 4
"248" 4 3 3 3
"249" 3 3 3 5
"250" 3 4 2 4
"251" 4 4 4 3
"252" 3 4 4 4
"253" 2 2 2 4
"254" 4 4 4 5
"255" 2 4 4 4
"256" 2 3 2 4
"257" 2 3 4 4
"258" 2 2 2 4
"259" 2 5 5 2
"260" 4 4 4 4
"261" 2 4 5 5
"262" 3 4 4 2
"263" 4 2 2 3
"264" 2 4 4 2
"265" 5 5 2 5
"266" 2 1 2 4
"267" 5 3 2 5
"268" 3 2 2 3
"269" 2 2 2 2
"270" 2 2 2 2
"271" 2 3 2 3
"272" 4 2 2 4
"273" 5 5 3 3
"274" 5 2 2 5
"275" 3 2 2 2
"276" 5 5 5 2
"277" 3 4 2 5
"278" 4 2 4 2
"279" 2 5 2 3
"280" 5 1 5 5
"281" 1 2 2 5
"282" 4 4 4 4
"283" 1 2 2 5
"284" 2 5 5 2
"285" 2 2 3 4
"286" 4 2 5 5
"287" 1 2 4 5
"288" 2 3 3 3
"289" 4 4 3 2
"290" 2 2 1 4
"291" 3 2 3 5
"292" 3 2 4 4
"293" 1 4 2 4
"294" 3 1 1 5
"295" 2 5 5 5
"296" 1 2 1 5
"297" 3 4 2 3
"298" 1 1 4 5
"299" 2 2 4 3
"300" 3 3 2 3
"301" 2 4 2 3
"302" 1 2 2 3
"303" 3 3 4 2
"304" 2 1 2 3
"305" 2 2 3 2
"306" 2 3 2 2
"307" 2 2 4 3
"308" 1 4 2 5
"309" 4 4 2 5
"310" 4 4 1 4
"311" 2 5 2 2
"312" 2 3 3 3
"313" 1 2 1 2
"314" 4 4 2 4
"315" 2 4 4 2
"316" 2 2 2 3
"317" 2 4 4 2
"318" 2 2 1 4
"319" 1 1 1 3
"320" 4 4 3 4
"321" 1 4 4 4
"322" 3 4 4 2
"323" 1 2 2 5
"324" 1 1 1 1
"325" 3 4 2 2
"326" 2 4 3 3
"327" 2 4 1 3
"328" 1 3 2 4
"329" 1 3 2 3
"330" 1 4 3 5
"331" 2 3 3 4
"332" 3 4 3 3
"333" 5 3 2 3
"334" 2 2 2 2
"335" 3 5 4 2
"336" 3 2 4 3
"337" 2 3 3 3
"338" 2 5 5 5
"339" 3 4 2 3
"340" 1 1 1 4
"341" 1 2 2 4
"342" 1 2 2 2
"343" 1 4 1 4
"344" 1 1 1 2
"345" 3 2 3 4
"346" 1 3 2 5
"347" 2 2 1 5
"348" 3 2 4 4
"349" 1 1 2 4
"350" 1 2 2 5
"351" 1 2 2 5
"352" 2 4 4 2
"353" 5 5 4 4
"354" 2 3 4 2
"355" 1 4 1 2
"356" 4 5 5 2
"357" 1 3 2 3
"358" 5 4 2 2
"359" 1 4 2 4
"360" 2 2 2 4
"361" 2 1 1 3
"362" 1 1 1 4
"363" 2 2 1 1
"364" 2 4 1 3
"365" 2 4 1 3
"366" 2 2 1 3
"367" 1 2 1 4
"368" 2 1 2 4
"369" 3 1 1 3
"370" 2 3 2 3
"371" 1 1 1 4
"372" 1 4 1 4
"373" 2 5 4 2
"374" 4 4 4 2
"375" 1 2 2 5
"376" 2 4 2 4
"377" 3 3 4 3
"378" 2 4 3 4
"379" 4 2 3 3
"380" 3 3 2 2
"381" 1 4 2 4
"382" 4 4 2 2
"383" 2 4 3 4
"384" 2 4 4 3
"385" 3 4 4 4
"386" 2 3 3 2
"387" 2 4 4 3
"388" 2 4 1 2
"389" 2 2 1 4
"390" 2 3 2 4
"391" 3 4 2 4
"392" 1 3 2 5
"393" 3 4 4 3
"394" 2 3 1 4
"395" 3 4 2 4
"396" 1 4 1 5
"397" 2 3 1 4
"398" 4 2 2 4
"399" 4 4 2 3
"400" 1 4 1 4
"401" 5 5 2 1
"402" 4 5 2 5
"403" 1 3 2 2
"404" 2 4 4 2
"405" 2 4 3 3
"406" 4 4 4 3
"407" 4 4 4 4
"408" 3 4 4 5
"409" 4 4 4 3
"410" 4 4 4 3
"411" 5 5 4 5
"412" 4 4 4 4
"413" 2 3 3 4
"414" 3 4 3 2
"415" 3 3 2 4
"416" 3 4 4 2
"417" 1 2 2 1
"418" 3 4 3 2
"419" 3 3 3 3
"420" 2 2 1 5
"421" 3 4 4 4
"422" 2 4 1 5
"423" 2 1 2 3
"424" 2 4 4 3
"425" 5 5 2 1
"426" 4 5 4 4
"427" 4 4 3 4
"428" 3 1 1 1
"429" 5 5 5 1
"430" 3 1 1 1
"431" 4 5 5 2
"432" 5 5 5 1
"433" 1 1 2 4
"434" 3 2 3 3
"435" 2 3 4 2
"436" 2 3 3 2
"437" 2 4 2 3
"438" 3 4 2 3
"439" 2 4 2 2
"440" 4 4 3 2
"441" 2 4 3 2
"442" 3 2 3 3
"443" 2 3 2 3
"444" 2 2 2 4
"445" 2 2 3 2
"446" 2 4 4 4
"447" 2 2 2 3
"448" 2 4 3 3
"449" 1 3 2 3
"450" 2 4 3 4
"451" 2 3 2 2
"452" 2 5 2 1
"453" 2 2 2 3
"454" 4 4 3 2
"455" 2 4 4 2
"456" 3 4 2 1
"457" 3 2 1 5
"458" 1 1 2 5
"459" 1 3 2 4
"460" 4 5 5 5
"461" 2 4 2 3
"462" 1 3 1 5
"463" 3 4 3 4
"464" 2 3 2 3
"465" 1 3 2 2
"466" 1 5 3 3
"467" 3 3 2 3
"468" 2 3 3 5
"469" 2 4 2 2
"470" 2 5 2 5
"471" 1 4 2 5
"472" 1 4 4 5
"473" 2 3 2 5
"474" 2 4 5 5
"475" 1 4 2 2
"476" 2 3 3 4
"477" 2 3 3 4
"478" 1 4 4 4
"479" 2 3 3 4
"480" 1 4 1 5
"481" 1 4 3 2
"482" 1 3 2 3
"483" 1 1 1 3
"484" 1 3 4 3
"485" 2 3 3 2
"486" 3 4 4 2
"487" 1 5 4 2
"488" 2 4 5 1
"489" 2 4 4 4
"490" 4 4 3 3
"491" 1 3 2 4
"492" 3 4 2 5
"493" 2 2 3 4
"494" 1 4 1 4
"495" 2 4 1 3
"496" 1 1 1 5
"497" 2 4 1 4
"498" 2 2 1 3
"499" 2 2 1 3
"500" 4 4 4 3
"501" 2 2 1 3
"502" 2 1 1 5
"503" 2 2 4 2
"504" 3 4 1 2
"505" 2 2 1 2
"506" 1 2 1 2
"507" 2 3 1 5
"508" 1 1 1 4
"509" 2 4 1 4
"510" 2 2 2 2
"511" 2 3 1 4
"512" 4 2 2 2
"513" 2 2 2 3
"514" 3 3 3 2
"515" 2 2 1 4
"516" 4 2 2 5
"517" 3 3 1 4
"518" 3 1 1 4
"519" 2 4 4 4
"520" 1 3 2 3
"521" 2 4 4 4
"522" 3 3 2 2
"523" 1 3 4 1
"524" 2 2 2 2
"525" 2 2 1 3
"526" 2 4 2 3
"527" 2 2 2 4
"528" 2 3 1 5
"529" 5 5 1 5
"530" 1 5 4 2
"531" 4 3 1 2
"532" 1 1 3 4
"533" 4 1 1 3
"534" 3 2 2 4
"535" 3 4 1 2
"536" 2 2 1 4
"537" 4 4 2 4
"538" 3 4 4 4
"539" 2 2 2 2
"540" 2 4 2 4
"541" 4 1 2 3
"542" 4 2 1 5
"543" 1 3 2 2
"544" 2 3 4 3
"545" 4 5 4 3
"546" 2 3 4 3
"547" 4 4 5 3
"548" 2 5 2 5
"549" 4 4 3 2
"550" 2 5 2 2
"551" 2 2 1 2
"552" 4 4 4 3
"553" 1 1 1 5
"554" 2 3 2 3
"555" 1 4 2 3
"556" 1 2 5 5
"557" 1 1 5 5
"558" 4 4 2 3
"559" 2 2 4 4
"560" 3 4 2 3
"561" 5 5 1 2
"562" 5 5 5 2
"563" 4 2 2 4
"564" 2 2 2 5
"565" 3 2 2 5
"566" 1 3 2 2
"567" 1 3 2 5
"568" 4 4 4 4
"569" 3 4 4 4
"570" 1 3 3 3
"571" 2 4 3 4
"572" 3 2 3 3
"573" 3 4 3 3
"574" 1 3 3 3
"575" 2 4 2 3
"576" 2 2 1 4
"577" 2 5 1 4
"578" 1 1 1 4
"579" 2 3 2 3
"580" 4 2 1 4
"581" 4 2 3 4
"582" 1 1 2 4
"583" 2 4 3 4
"584" 2 4 2 4
"585" 2 4 4 2
"586" 4 3 3 2
"587" 3 4 3 2
"588" 2 3 4 3
"589" 4 3 3 4
"590" 3 3 3 3
"591" 3 3 4 3
"592" 3 3 2 3
"593" 4 2 2 3
"594" 1 4 1 2
"595" 2 3 4 4
"596" 1 2 1 4
"597" 4 4 4 4
"598" 3 4 4 5
"599" 2 4 2 2
"600" 2 4 2 3
"601" 2 4 2 2
"602" 2 4 2 2
"603" 3 1 2 3
"604" 1 4 4 4
"605" 1 4 1 3
"606" 3 4 2 3
"607" 2 2 4 2
"608" 2 4 1 4
"609" 2 2 3 2
"610" 2 3 2 4
"611" 3 4 2 4
"612" 4 4 1 2
"613" 2 2 2 2
"614" 2 2 2 2
"615" 3 4 4 3
"616" 2 4 4 4
"617" 4 2 2 4
"618" 4 4 4 4
"619" 3 4 3 2
"620" 2 2 5 4
"621" 1 1 2 3
"622" 2 4 2 2
"623" 2 2 1 2
"624" 4 3 4 2
"625" 4 2 2 1
"626" 1 2 2 4
"627" 4 5 4 2
"628" 2 2 3 5
"629" 1 3 2 1
"630" 4 4 2 2
"631" 2 2 4 4
"632" 1 4 2 2
"633" 1 2 2 3
"634" 2 2 2 4
"635" 3 2 2 4
"636" 5 2 3 3
"637" 3 2 2 4
"638" 4 2 2 5
"639" 4 2 2 4
"640" 5 2 2 3
"641" 4 4 5 2
"642" 5 5 3 2
"643" 2 2 2 4
"644" 2 2 2 4
"645" 3 2 2 2
"646" 1 1 1 5
"647" 2 4 4 4
"648" 2 4 2 4
"649" 1 1 1 5
"650" 1 2 1 2
"651" 1 3 3 4
"652" 2 4 2 2
"653" 2 3 4 2
"654" 5 5 2 3
"655" 3 5 5 5
"656" 1 5 5 2
"657" 2 4 4 4
"658" 1 1 1 5
"659" 1 1 3 4
"660" 4 2 3 2
"661" 3 4 3 3
"662" 2 2 2 2
"663" 4 4 4 3
"664" 4 5 5 4
"665" 4 5 4 4
"666" 4 4 4 4
"667" 2 2 2 5
"668" 2 4 1 4
"669" 4 4 4 4
"670" 4 4 3 4
"671" 4 4 2 2
"672" 3 3 4 5
"673" 3 4 2 3
"674" 2 5 3 2
"675" 2 2 1 3
"676" 2 4 2 4
"677" 2 5 2 2
"678" 1 2 2 4
"679" 2 2 2 3
"680" 3 2 2 2
"681" 5 5 2 3
"682" 3 2 2 3
"683" 2 2 2 3
"684" 2 2 2 4
"685" 4 2 4 2
"686" 2 3 2 4
"687" 1 2 3 2
"688" 2 4 3 2
"689" 4 2 2 3
"690" 2 1 1 5
"691" 2 4 3 5
"692" 2 4 2 4
"693" 1 2 1 3
"694" 4 5 4 3
"695" 4 4 2 4
"696" 3 4 3 4
"697" 4 5 5 2
"698" 3 2 2 2
"699" 2 2 4 3
"700" 1 3 2 2
"701" 1 4 2 4
"702" 1 2 1 3
"703" 2 3 4 2
"704" 2 2 4 4
"705" 2 2 2 2
"706" 2 3 3 3
"707" 2 2 2 5
"708" 4 4 3 3
"709" 2 3 2 4
"710" 1 2 1 4
"711" 4 3 1 4
"712" 1 3 1 2
"713" 2 4 4 3
"714" 2 4 2 2
"715" 1 1 1 5
"716" 2 3 2 3
"717" 2 4 4 3
"718" 2 5 5 5
"719" 4 4 4 4
"720" 2 2 2 3
"721" 1 5 3 3
"722" 2 4 4 3
"723" 2 4 4 4
"724" 1 2 1 4
"725" 2 4 3 4
"726" 2 3 2 5
"727" 2 5 2 2
"728" 2 3 3 4
"729" 3 4 2 3
"730" 2 2 2 4
"731" 2 2 3 4
"732" 3 4 2 4
"733" 3 3 3 2
"734" 1 4 4 4
"735" 2 4 4 4
"736" 2 3 2 4
"737" 3 2 2 2
"738" 2 2 3 4
"739" 2 2 1 3
"740" 3 4 2 3
"741" 1 4 3 4
"742" 1 3 3 4
"743" 2 4 2 3
"744" 2 3 2 5
"745" 3 4 4 5
"746" 3 4 4 2
"747" 1 4 3 5
"748" 2 3 4 2
"749" 2 2 2 3
"750" 5 2 3 5
"751" 2 3 3 3
"752" 2 3 2 3
"753" 2 3 5 4
"754" 2 3 3 3
"755" 2 3 3 2
"756" 5 2 2 5
"757" 1 2 3 4
"758" 5 3 3 3
"759" 1 4 4 3
"760" 4 4 2 5
"761" 3 3 3 4
"762" 4 4 4 3
"763" 4 4 4 3
"764" 2 3 3 3
"765" 4 3 3 3
"766" 4 4 4 4
"767" 2 2 3 3
"768" 2 3 3 3
"769" 4 3 3 3
"770" 4 1 1 5
"771" 2 4 2 4
"772" 1 4 2 4
"773" 1 4 1 4
"774" 1 4 4 3
"775" 2 4 3 2
"776" 2 4 4 2
"777" 1 4 2 4
"778" 3 2 3 3
"779" 2 4 2 3
"780" 4 3 2 3
"781" 4 3 4 3
"782" 5 5 4 3
"783" 2 4 4 4
"784" 4 5 4 3
"785" 2 5 5 3
"786" 2 3 5 2
"787" 2 2 2 4
"788" 2 4 3 3
"789" 5 2 4 5
"790" 4 4 4 4
"791" 4 4 4 2
"792" 2 4 4 4
"793" 4 5 4 4
"794" 5 4 3 4
"795" 4 4 3 3
"796" 2 4 3 2
"797" 4 4 3 2
"798" 1 2 4 4
"799" 4 5 4 5
"800" 4 4 4 2
"801" 1 4 4 3
"802" 1 3 2 4
"803" 2 1 1 4
"804" 3 3 2 3
"805" 2 1 2 4
"806" 2 2 2 2
"807" 2 2 2 3
"808" 2 2 3 2
"809" 2 3 3 3
"810" 2 1 3 2
"811" 3 2 4 2
"812" 1 2 3 2
"813" 1 3 2 4
"814" 2 3 3 2
"815" 3 4 2 3
"816" 3 3 2 4
"817" 1 3 4 2
"818" 1 4 2 5
"819" 5 2 5 5
"820" 2 3 4 3
"821" 2 4 4 4
"822" 4 4 4 2
"823" 2 3 3 3
"824" 4 2 2 2
"825" 1 1 2 2
"826" 4 2 2 2
"827" 3 4 2 2
"828" 2 1 1 5
"829" 2 2 4 4
"830" 1 2 2 4
"831" 2 3 2 3
"832" 2 4 2 2
"833" 4 4 4 2
"834" 4 4 4 4
"835" 1 4 1 3
"836" 2 4 5 5
"837" 4 4 4 2
"838" 4 5 5 2
"839" 3 5 5 2
"840" 1 4 1 2
"841" 5 3 3 5
"842" 1 4 4 2
"843" 2 4 2 4
"844" 2 3 3 2
"845" 2 4 3 4
"846" 2 5 5 3
"847" 2 4 2 4
"848" 4 4 4 4
"849" 2 4 2 2
"850" 2 3 4 4
"851" 1 3 1 3
"852" 1 4 4 4
"853" 2 2 3 4
"854" 2 3 4 3
"855" 1 3 4 4
"856" 1 2 3 5
"857" 1 4 2 2
"858" 1 2 2 3
"859" 1 2 3 2
"860" 2 2 2 4
"861" 2 4 1 2
"862" 1 1 1 5
"863" 2 2 2 4
"864" 5 5 4 4
"865" 2 3 4 4
"866" 1 2 2 4
"867" 2 5 2 5
"868" 4 4 4 4
"869" 4 4 4 2
"870" 2 2 2 2
"871" 2 3 2 5
"872" 5 5 5 4
"873" 2 3 2 2
"874" 2 2 2 2
"875" 1 3 3 3
"876" 2 2 2 3
"877" 1 5 1 4
"878" 2 4 3 2
"879" 2 4 2 4
"880" 4 1 1 4
"881" 4 4 2 4
"882" 1 4 2 2
"883" 3 4 4 2
"884" 1 4 4 3
"885" 1 1 1 5
"886" 2 4 4 3
"887" 2 4 2 3
"888" 4 4 2 4
"889" 4 4 2 3
"890" 2 5 2 4
"891" 2 3 2 4
"892" 4 4 2 2
"893" 2 4 4 4
"894" 2 1 1 4
"895" 1 1 1 5
"896" 5 5 3 5
"897" 4 4 3 5
"898" 1 5 5 5
"899" 2 2 2 2
"900" 1 3 2 2
"901" 1 4 1 1
"902" 1 2 1 4
"903" 2 2 2 2
"904" 2 2 3 3
"905" 3 4 4 2
"906" 2 4 4 2
"907" 1 4 4 2
"908" 2 4 1 5
"909" 1 2 3 2
"910" 2 1 1 5
"911" 1 2 2 2
"912" 1 2 3 2
"913" 1 3 2 1
"914" 1 2 3 2
"915" 3 2 3 3
"916" 2 2 3 2
